driver_id,week_number,total_requests,accepted_rides,cancelled_rides,peak_rides_accepted,difficult_rides_accepted,raw_acceptance_score,effective_acceptance_score,decayed_score,period,period_score,is_reset_week,final_score
D001,1,39,27,3,2,4,0.6923076923076923,0.6153846153846154,0.6153846153846154,1,0.5319615964978076,True,0.0
D001,2,35,24,1,2,1,0.6857142857142857,0.6571428571428571,0.6379566379566379,1,0.5319615964978076,False,0.6379566379566379
D001,3,38,25,3,1,3,0.6578947368421053,0.5789473684210527,0.6150181463976155,1,0.5319615964978076,False,0.6150181463976155
D001,4,39,25,2,4,3,0.6410256410256411,0.5897435897435898,0.6070866964610758,1,0.5319615964978076,False,0.6070866964610758
D001,5,31,21,1,3,4,0.6774193548387096,0.6451612903225806,0.6173531778917937,1,0.5319615964978076,False,0.6173531778917937
D001,6,34,21,7,4,4,0.6176470588235294,0.4117647058823529,0.5678416633710001,1,0.5319615964978076,False,0.5678416633710001
D001,7,37,22,3,3,4,0.5945945945945946,0.5135135135135135,0.5558473335683626,1,0.5319615964978076,False,0.5558473335683626
D001,8,25,13,2,2,1,0.52,0.44,0.5319615964978076,1,0.5319615964978076,False,0.5319615964978076
D001,9,44,28,1,4,6,0.6363636363636364,0.6136363636363636,0.5479057470247125,2,0.5601453580539895,True,0.0
D001,10,31,16,4,2,4,0.5161290322580645,0.3870967741935484,0.5178714086160685,2,0.5601453580539895,False,0.5178714086160685
D001,11,38,28,4,2,5,0.7368421052631579,0.631578947368421,0.5383553963860481,2,0.5601453580539895,False,0.5383553963860481
D001,12,45,27,3,2,2,0.6,0.5333333333333333,0.5374771658774236,2,0.5601453580539895,False,0.5374771658774236
D001,13,32,19,4,5,5,0.59375,0.46875,0.5257502414043896,2,0.5601453580539895,False,0.5257502414043896
D001,14,43,30,1,6,7,0.6976744186046512,0.6744186046511628,0.5506047895953277,2,0.5601453580539895,False,0.5506047895953277
D001,15,20,13,0,4,1,0.65,0.65,0.5669411184019088,2,0.5601453580539895,False,0.5669411184019088
D001,16,40,23,2,3,5,0.575,0.525,0.5601453580539895,2,0.5601453580539895,False,0.5601453580539895
D001,17,41,25,4,2,4,0.6097560975609756,0.5121951219512195,0.5524682970368973,3,0.5636399491974824,True,0.0
D001,18,49,29,0,8,5,0.5918367346938775,0.5918367346938775,0.5587083173736233,3,0.5636399491974824,False,0.5587083173736233
D001,19,43,27,2,3,4,0.627906976744186,0.5813953488372093,0.562273963593756,3,0.5636399491974824,False,0.562273963593756
D001,20,43,30,6,3,4,0.6976744186046512,0.5581395348837209,0.5616287927685983,3,0.5636399491974824,False,0.5616287927685983
D001,21,28,18,0,3,4,0.6428571428571429,0.6428571428571429,0.5742281382978631,3,0.5636399491974824,False,0.5742281382978631
D001,22,26,17,0,2,1,0.6538461538461539,0.6538461538461539,0.5865149166367308,3,0.5636399491974824,False,0.5865149166367308
D001,23,42,25,4,1,7,0.5952380952380952,0.5,0.5732212473110465,3,0.5636399491974824,False,0.5732212473110465
D001,24,47,29,5,1,5,0.6170212765957447,0.5106382978723404,0.5636399491974824,3,0.5636399491974824,False,0.5636399491974824
D002,1,32,26,2,5,3,0.8125,0.75,0.75,1,0.6573247242393593,True,0.0
D002,2,34,23,3,4,4,0.6764705882352942,0.5882352941176471,0.6625596184419713,1,0.6573247242393593,False,0.6625596184419713
D002,3,36,23,1,2,4,0.6388888888888888,0.6111111111111112,0.6425601986826477,1,0.6573247242393593,False,0.6425601986826477
D002,4,48,36,3,3,4,0.75,0.6875,0.6566628311911331,1,0.6573247242393593,False,0.6566628311911331
D002,5,30,24,3,5,5,0.8,0.7,0.668348319957067,1,0.6573247242393593,False,0.668348319957067
D002,6,41,30,0,4,5,0.7317073170731707,0.7317073170731707,0.6836069571514367,1,0.6573247242393593,False,0.6836069571514367
D002,7,24,19,0,5,5,0.7916666666666666,0.7916666666666666,0.7074639041982773,1,0.6573247242393593,False,0.7074639041982773
D002,8,28,17,4,4,2,0.6071428571428571,0.4642857142857143,0.6573247242393593,1,0.6573247242393593,False,0.6573247242393593
D002,9,34,24,1,3,2,0.7058823529411765,0.6764705882352942,0.661062286625071,2,0.5832720066538195,True,0.0
