driver_id,week_number,acceptance_score,peak_rides_completed,difficult_rides_completed,incentive_amount,rewards_tier,fuel_discount
D001,24,0.5636399491974824,1,4,170.0,Bronze,5%
D002,24,0.5655722745991039,2,2,155.0,Bronze,5%
D003,24,0.5554552700671803,6,3,297.5,Bronze,5%
D004,24,0.6095929816269797,4,1,192.5,Bronze,5%
D005,24,0.5968785546638136,6,3,297.5,Bronze,5%
D006,24,0.5960562779987795,4,1,192.5,Bronze,5%
D007,24,0.5720384261894822,3,6,275.0,Bronze,5%
D008,24,0.6060973068402006,2,2,155.0,Bronze,5%
D009,24,0.526465602969006,0,2,95.0,Bronze,5%
D010,24,0.5534177701284158,1,3,147.5,Bronze,5%
D011,24,0.5780024744597742,4,1,192.5,Bronze,5%
D012,24,0.5463243950649496,2,4,200.0,Bronze,5%
D013,24,0.6236684660887039,3,6,275.0,Bronze,5%
D014,24,0.6370229443974792,2,4,200.0,Bronze,5%
D015,24,0.564219254430112,2,4,200.0,Bronze,5%
D016,24,0.5553818030549175,2,1,132.5,Bronze,5%
D017,24,0.5646676461454481,2,1,132.5,Bronze,5%
D018,24,0.5906512201375235,1,3,147.5,Bronze,5%
D019,24,0.5518526578388893,6,2,275.0,Bronze,5%
D020,24,0.5880442865898143,5,4,290.0,Bronze,5%
D021,24,0.6062573380914216,6,2,275.0,Bronze,5%
D022,24,0.5632887573049787,4,4,260.0,Bronze,5%
D023,24,0.574631679440652,1,3,147.5,Bronze,5%
D024,24,0.553680101377126,1,6,215.0,Bronze,5%
D025,24,0.564053255628867,2,3,177.5,Bronze,5%
D026,24,0.5471500036995612,1,6,215.0,Bronze,5%
D027,24,0.5945376027649824,4,2,215.0,Bronze,5%
D028,24,0.5209116405831686,0,2,95.0,Bronze,5%
D029,24,0.5691067839431038,3,3,207.5,Bronze,5%
D030,24,0.5909439467708819,0,3,117.5,Bronze,5%
D031,24,0.6051791449587678,3,2,185.0,Bronze,5%
D032,24,0.5804787466911944,2,5,222.5,Bronze,5%
D033,24,0.5909375184335308,9,5,432.5,Bronze,5%
D034,24,0.6009169332841956,6,2,275.0,Bronze,5%
D035,24,0.5675512927294846,5,5,312.5,Bronze,5%
D036,24,0.5979116226980916,6,4,320.0,Bronze,5%
D037,24,0.5775467493995949,1,0,80.0,Bronze,5%
D038,24,0.5993794217546518,3,7,297.5,Bronze,5%
D039,24,0.6213912193739608,2,2,155.0,Bronze,5%
D040,24,0.6214977881851359,7,5,372.5,Bronze,5%
D041,24,0.5492504770839749,1,5,192.5,Bronze,5%
D042,24,0.5740718732316307,3,8,320.0,Bronze,5%
D043,24,0.5575377105616862,2,6,245.0,Bronze,5%
D044,24,0.61239543686252,0,2,95.0,Bronze,5%
D045,24,0.5398291864764768,3,6,275.0,Bronze,5%
D046,24,0.6100062996407349,6,4,320.0,Bronze,5%
D047,24,0.5940212937787419,4,6,305.0,Bronze,5%
D048,24,0.6040124572426856,3,3,207.5,Bronze,5%
D049,24,0.5378435203691645,6,4,320.0,Bronze,5%
D050,24,0.6103033328830882,3,3,207.5,Bronze,5%
D051,24,0.5530962816261086,2,3,177.5,Bronze,5%
D052,24,0.6407434641502309,1,3,147.5,Bronze,5%
D053,24,0.583938238573343,0,2,95.0,Bronze,5%
D054,24,0.5672569728086357,2,3,177.5,Bronze,5%
D055,24,0.6106510793366287,3,2,185.0,Bronze,5%
D056,24,0.5498019056672345,2,2,155.0,Bronze,5%
D057,24,0.5789935141217173,3,5,252.5,Bronze,5%
D058,24,0.5981069945283468,2,4,200.0,Bronze,5%
D059,24,0.5858638660279841,2,4,200.0,Bronze,5%
D060,24,0.5891822768227243,2,5,222.5,Bronze,5%
D061,24,0.5793567493729409,4,2,215.0,Bronze,5%
D062,24,0.5834271916727938,0,0,50.0,Bronze,5%
D063,24,0.5724105133962892,0,1,72.5,Bronze,5%
D064,24,0.6069623237941205,4,4,260.0,Bronze,5%
D065,24,0.5787540848319846,2,2,155.0,Bronze,5%
D066,24,0.5594801454009684,4,4,260.0,Bronze,5%
D067,24,0.5707564831533785,2,1,132.5,Bronze,5%
D068,24,0.5844152586117779,1,2,125.0,Bronze,5%
D069,24,0.5629478378846803,2,1,132.5,Bronze,5%
D070,24,0.5610133847419198,0,0,50.0,Bronze,5%
D071,24,0.5799684989415657,6,5,342.5,Bronze,5%
D072,24,0.6135722827971595,3,6,275.0,Bronze,5%
D073,24,0.5357294574822361,5,2,245.0,Bronze,5%
D074,24,0.5632553174286716,1,4,170.0,Bronze,5%
D075,24,0.5655720650688569,2,2,155.0,Bronze,5%
D076,24,0.6579690681743993,3,2,185.0,Bronze,5%
D077,24,0.5700825551493807,2,2,155.0,Bronze,5%
D078,24,0.5958233808627106,2,3,177.5,Bronze,5%
D079,24,0.5556575535359091,3,3,207.5,Bronze,5%
D080,24,0.5744313320321226,2,0,110.0,Bronze,5%
D081,24,0.5662135427200737,1,2,125.0,Bronze,5%
D082,24,0.6152564434120695,5,7,357.5,Bronze,5%
D083,24,0.558159621604283,4,1,192.5,Bronze,5%
D084,24,0.5810399403476736,3,3,207.5,Bronze,5%
D085,24,0.6071959452326758,3,1,162.5,Bronze,5%
D086,24,0.571779322078325,4,3,237.5,Bronze,5%
D087,24,0.5817814068347793,6,4,320.0,Bronze,5%
D088,24,0.6102553154995697,5,1,222.5,Bronze,5%
D089,24,0.5966907826235145,4,1,192.5,Bronze,5%
D090,24,0.6017446863367878,3,1,162.5,Bronze,5%
D091,24,0.5907399292902038,6,4,320.0,Bronze,5%
D092,24,0.5745567642202973,1,7,237.5,Bronze,5%
D093,24,0.6229036610641467,5,3,267.5,Bronze,5%
D094,24,0.5447237799848924,4,3,237.5,Bronze,5%
D095,24,0.5341150266449026,2,2,155.0,Bronze,5%
D096,24,0.5931179076999598,6,4,320.0,Bronze,5%
D097,24,0.5921853073083512,4,2,215.0,Bronze,5%
D098,24,0.5767086031548084,1,5,192.5,Bronze,5%
D099,24,0.5924278683835521,3,3,207.5,Bronze,5%
D100,24,0.5673111872314716,4,2,215.0,Bronze,5%
